operacao|ctefctef|cnpjctef|empresactef|valorCtef|valorAceitoCaixa
1079063|012024/2024|02.724.778/0001-79|UNITERRA - UNIAO TERRAPLENAGEM E CONSTRUCOES LTDA|619500,16|619500,16
1087387|3/2024|42.348.741/0001-08|E & P CONSTRUCOES E SERVICOS LTDA|739642,55|739642,55
1091891|08/8|00.220.982/0001-27|MATT CONSTRUTORA LTDA|1022841,22|1022841,22
1065432|00042024/2024|51.589.831/0001-81|RAMOS E MACHADO ENGENHARIA LTDA|680000,00|680000,00
1089089|30/2024|28.526.271/0001-02|PH IMOVEIS LTDA|340289,36|340289,36
1087036|0262024/2024|40.291.416/0001-20|CONSTRUTORA BRATA LTDA|255935,00|255935,00
1069909|015/2020|19.455.407/0001-31|AGILIZA ENGEHARIA E SERVIÇOS IMOBILIÁRIOS LTDA|27200,00|27200,00
1074361|73/2024|04.690.015/0001-80|IDEAL INFRAESTRUTURA E MONTAGEM LTDA|3013924,96|3013924,96
0310269|028/2011|13.529.136/0001-35|CERB - Companhia de Engenharia Ambiental e Recursos Hidrícos da Bahia|2968370,96|2927121,28
1073019|034/2024|44.025.236/0001-58|Semear Agroindustria|47653,16|47653,16
1082851|022024/2024|41.391.511/0001-69|CAVALCANTI FARIAS LTDA|1310000,00|1310000,00
1071211|Concorrência/SRP nº |08.593.703/0003-44|PAS - PROJETOS, ASSESSORIA E SISTEMAS LTDA|82220532,60|82220532,60
1077071|070/2024|16.594.225/0001-53|CFG SERVICOS DE REPAROS NA AREA DE CONSTRUCAO LTDA|389950,00|389950,00
1088175|032024/2024|41.730.554/0001-21|PAVIMENTACAO SAO CRISTOVAO LTDA|480000,00|480000,00
1089149|0052014/2014|44.684.501/0001-00|A M P SILVA  LTDA|510436,00|510436,00
1088420|131/2024|21.060.687/0001-20|BLZ ENGENHARIA E CONSTRUCAO S/A|849000,00|849000,00
1089033|62024/2024|47.803.914/0001-54|QUALITY ENGENHARIA E EMPREENDIMENTOS LTDA|447500,00|447500,00
1092019|0092024/2024|30.606.368/0001-69|IC EMPREENDIMENTOS E SOLUCOES LTDA|563119,92|563119,92
1091246|003/2024|18.693.277/0001-02|D K SERVICOS E LOCACOES LTDA|1338620,00|1338620,00
1077534|22022/2022|17.274.179/0001-78|B N DE FREITAS BNF ENGENHARIA UNIPESSOAL LTDA|216366,80|216366,80
1080945|001/2024|07.477.679/0001-53|AF CONSTRUTORA LTDA|1044290,00|1044290,00
1090161|9/2024|02.331.591/0001-05|MILLATO CONSTRUTORA E INCORPORADORA LTDA|358900,00|358900,00
1082812|003/2024|26.957.920/0001-96|C H DE MACEDO LOCACAO E SERVICOS LTDA|953234,15|953234,15
1086054|019/19|07.511.235/0001-97|REAL PETRO PAVIMENTACAO E CONSTRUCOES LTDA|3496000,00|3496000,00
1079955|102/2024|03.928.516/0001-99|VERDI SISTEMAS CONSTRUTIVOS LTDA|125354460,65|125354460,65
1083633|01/1|26.147.330/0001-06|CONTAMIL CONSTRUCAO LTDA|425502,31|425502,31
1083557|0072023/2023|35.829.189/0001-04|HABILITAR LTDA|27964,52|27964,52
1080272|90001/2024|34.460.325/0001-79|SANFER CONSTRUCOES LTDA|918966,78|918966,78
1091891|08/8|00.220.982/0001-27|MATT CONSTRUTORA LTDA|1002841,22|1002841,22
1085224|0012024/2024|01.744.153/0001-06|PAVIDEZ ENGENHARIA LTDA|476774,81|476774,81
1071211|Concorrência Pública|08.593.703/0003-44|PAS - PROJETOS, ASSESSORIA E SISTEMAS LTDA|82220532,60|82220532,60
1095414|010/10|45.384.343/0001-35|JGBA SERVICOS|583988,91|583988,91
1093933|004/2024|30.473.743/0001-40|RODOVIA TERRAPLENAGEM PAVIMENTACAO E CONSTRUCAO LTDA|679110,65|679110,65
1083570|25/2024|87.654.547/0001-99|COESUL-CONSTRUTORA EXTREMO SUL LTDA|596407,28|596407,28
1077245|900012024/2024|30.872.209/0001-06|TMC CONSTRUTORA LTDA|763863,83|763863,83
1089149|0052024/2024|44.684.501/0001-00|A M P SILVA  LTDA|510436,00|510436,00
1088753|56/2024|13.984.677/0001-53|DOM GIOVANI SANEAMENTO E TERRAPLENAGEM LTDA|475000,00|475000,00
1086012|00004/2024|33.666.569/0001-40|PACTO CONSTRUCOES LTDA|529900,00|529900,00
1088601|2/2024|27.400.853/0001-77|EUZIMAR D DE CASTRO LTDA|477195,32|477195,32
1085635|TP 24/2023|00.061.493/0001-70|ENCOPAV ENGENHARIA LTDA|2725799,14|2725799,14
1079624|006/2024|34.401.728/0001-47|ED BLOCOS LTDA|290000,00|290000,00
1086012|00004/2024|32.609.156/0001-60|HR COSTA CONSTRUCOES E SERVICOS LTDA|529900,00|529900,00
1087888|052024/2024|49.381.192/0001-12|LM2 ENGENHARIA LTDA|295000,00|295000,00
1091605|643/2024|08.408.495/0001-02|VERDE MARES CONSTRUCOES DE OBRAS PUBLICA LTDA|217597,63|217597,63
1088347|0252024/2024|48.618.187/0001-18|CR SOLUCOES SERVICOS DE ENGENHARIA E CONSTRUCOES LTDA|259017,19|259017,19
1081352|142/2024|23.128.152/0001-70|TOPFORT EMPREENDIMENTOS E SERVICOS LTDA|1204650,38|1204650,38
1086493|069/2024|41.200.286/0001-36|TREZ PARTICIPACOES E ENGENHARIA LTDA|7509999,86|6755648,88
1088586|0092024/2024|40.528.355/0001-72|CONSTRUTORA ZM MENDES LTDA|296234,15|296234,54
1030091|000067/2024|26.710.515/0001-79|leafar consultoria, projetos e construcoes ltda.|1850000,00|1850000,00
1086493|073/2024|03.278.968/0001-72|MAXICASA COMERCIO CONSTRUCOES E SERVICOS LTDA.|6313646,32|5247533,30
1089471|0032024/2024|54.639.636/0001-07|SOUSA RODRIGUES LTDA|492936,00|492936,00
1078046|012023/2023|27.104.634/0001-40|KV CONSTRUCOES E EMPREENDIMENTOS LTDA|563683,17|563683,17
1086493|070/2024|05.446.272/0001-33|CONSTRUTORA ARRIMO LTDA|10939429,03|9679573,55
1081130|0012024/2024|44.704.113/0001-43|JMM S EMPREENDIMENTOS E SERVICOS LTDA|200000,00|200000,00
1090948|0062024/2024|24.332.085/0001-73|R DE M SOUSA E LEAL ENGENHARIA LTDA|40000,00|40000,00
1091991|13/13|16.737.736/0001-87|TERRA SUL LTDA|1114217,23|1114217,23
1078046|012023/2023|27.263.594/0001-80|JC3 ENGENHARIA LTDA|563683,17|563683,17
0232300|058/2008|07.188.930/0001-60|IM ENGENHARIA|142516,95|142516,95
0232300|S/N|10.458.681/0001-90|RBS CONSTRUÇÕES|87762,78|87762,78
0232300|007/2018|07.275.651/0001-33|EMPREENDIMENTOS CONSTRUÇÕES|221584,95|221584,95
1086225|154/2023|03.691.134/0001-94|PAESAN - PAVIMENTACAO ENGENHARIA E SANEAMENTO LTDA|7458590,87|7458590,87
0320107|Ata nº 950/2023|08.629.276/0001-45|FORMATTI  TECNOLOGIA  LTDA|5289077,13|140816,75
1086556|011/2024|31.822.605/0001-91|FUNCIONAL CONSTRUCOES LTDA|1749346,10|1749346,10
1093590|015/15|45.384.343/0001-35|JGBA SERVICOS|386131,88|386131,88
1087012|018/2024|12.556.578/0001-08|M. D. SERVICOS E CONSTRUCOES LTDA.|376000,00|376000,00
1087257|0132024/2024|42.159.970/0001-84|H J RODRIGUES MELO LTDA|3118185,47|3118185,47
1091170|005/5|50.349.879/0001-50|VENEZA EMPREENDIMENTOS E CONSTRUCAO LTDA|691810,97|691810,97
1077685|0062023/2023|14.419.429/0001-22|GRUPO MACIEL CONSTRUCOES LTDA|2712564,38|2712564,38
1079952|0072023/2023|04.843.023/0001-19|MONTREAL CONSTRUCOES LTDA.|8727230,88|8727230,88
1081857|06/6|10.734.599/0001-40|TDC SERVICOS E TERCERIZACAO LTDA|357500,00|357500,00
1039786|008/2022|16.793.035/0001-65|apx construcoes e locacoes ltda|144270,27|144270,27
1087615|003/2024|39.596.380/0001-04|MR PROJETOS E CONSTRUCOES LTDA|945443,07|945443,07
1088121|006/2024|03.226.372/0001-29|VL TECNO ENGENHARIA LTDA|4420000,00|4420000,00
1081543|08/2023|55.980.858/0001-51|PORT CON CONSTRUTORA LTDA|535298,12|535298,12
1081002|418/2024|04.607.970/0001-00|PLANACON CONSTRUTORA LTDA|3199000,00|3199000,00
1091605|04/CPL/2024|08.408.495/0001-02|VERDE MARES CONSTRUCOES DE OBRAS PUBLICA LTDA|217597,63|217597,63
1094127|049/2024|40.011.437/0001-45|SETI CONSTRUCOES E SERVICE LTDA|996427,13|996427,13
1055046|000009/2022|16.793.035/0001-65|apx construcoes e locacoes ltda|283156,02|283156,02
1090699|0092024/2024|16.793.035/0001-65|APX CONSTRUCOES E LOCACOES LTDA|1418207,87|1418207,87
1088416|00008/2024|21.798.708/0001-00|KAIROS ENGENHARIA E CONSTRUCOES LTDA|1813128,85|1813128,85
1092681|007/2024|35.764.462/0001-60|SERFI CONSTRUTORA E SERVICOS DE TRANSPORTE LTDA|420476,10|420476,10
1086641|122024/2024|05.755.180/0001-35|BOA FE CONSTRUCOES LTDA|251934,17|251934,17
1089464|018/2024|10.381.587/0001-80|WESSLER CONSTRUTORA LTDA|739990,00|739990,00
1080469|0022024/2024|20.012.844/0001-60|GRD ENGENHARIA LTDA|4303353,26|4303353,26
1055046|000009/2022|16.793.035/0001-65|apx construcoes e locacoes ltda|283156,02|283156,02
1089382|1/2024|22.370.847/0001-09|CONSTRUCOES E PAVIMENTACOES LLA LTDA|288600,27|288600,27
1088752|057/2024|29.682.649/0001-11|HG ARAUJO CONSTRUTORA LTDA|247900,00|247900,00
1084520|06/2024|37.697.503/0001-78|STARK CONSTRUTORA LTDA|319642,89|319642,89
1092421|05/2024|90.063.470/0001-97|CONPASUL CONSTRUCAO E SERVICOS LTDA - EM RECUPERACAO JUDICIAL|6596273,49|6596273,49
1090544|010/2024-CP|42.872.980/0001-62|ALFA CONSTRUCOES E EMPREENDIMENTOS LTDA|699790,86|699790,86
1077725|119/2024|04.730.117/0001-81|SOLEAR CONSTRUCOES E COMERCIO LTDA|748800,00|748800,00
1035287|000066/2024|18.818.196/0001-91|Inove Construcoes LTDA|1542808,37|1624373,60
1089376|020/2024|15.984.883/0001-99|ELETRICA RADIANTE MAT ELETRICOS LTDA|461318,99|461318,99
1088110|0012024/2024|30.480.205/0001-82|R. PIRES DE MOURA MARQUES LTDA|206038,99|206038,99
1087514|00002/2024|47.674.423/0001-50|CONSTRUTORA E LIMPEZA URBANA DANTAS LTDA|369900,00|369900,00
1088046|052024/2024|09.042.444/0001-64|TERRAS BARRIL - TERRAPLANAGENS E PAVIMENTACAO LTDA|452608,72|452608,72
1090288|02/2|23.729.576/0001-90|CONSTRUTORA B. BARROS LTDA|465583,57|465583,57
1078785|07/7|37.556.923/0001-34|ALMEIDA CONSTRUTORA E SERVICOS LTDA|316626,52|316626,52
1086935|44/2024|17.418.277/0001-31|FECON ENGENHARIA E CONSULTORIA LTDA|242850,00|242850,00
1082013|002/2024|45.438.698/0001-60|CAMPAO ASFALTO E CONSTRUTORA LTDA|448000,00|448000,00
1089979|90034/34|42.699.174/0001-34|MGM BRASIL SERVICOS LTDA|415500,00|415500,00
1090995|0605.003/2024|18.286.438/0001-43|CONSTRUTORA NOVO HORIZONTE LTDA|508543,81|508543,81
1092759|025/2024|01.817.838/0001-35|OBRAGEN ENGENHARIA E CONSTRUCOES LTDA.|4300000,00|4300000,00
1081487|07/2024|42.699.174/0001-34|MGM BRASIL SERVICOS LTDA|322356,71|322356,71
1090235|194/2024|39.598.322/0001-10|HFONTES ENGENHARIA E CONSTRUTORA LTDA|734959,08|427839,85
1087709|001/2024|43.357.757/0001-40|RD SOLUCOES LTDA|919972,00|919972,00
1088811|070/2024|19.657.875/0001-99|AGIL CONSTRUCOES, COMERCIO E SERVICOS LTDA|967431,36|967431,36
1089943|0032024/2024|21.376.308/0001-06|MBV ENGENHARIA LTDA|1190583,34|1190583,34
1090433|90037/37|42.699.174/0001-34|MGM BRASIL SERVICOS LTDA|901594,87|901594,87
0352741|276/2013|02.156.313/0001-69|CONSTRUTORA CENTRAL DO BRASIL|25462256,14|0,00
0352741|119/2016|17.475.225/0001-05|INFINITI ENGENHARIA|682318,60|0,00
1071438|087/2021|32.611.684/0001-54|FEITOSA CONSTRUTORA EIRELI|357179,41|357179,41
0352741|185/2014|00.772.673/0001-60|ALKARA CONSTRUÇÕES|727498,55|0,00
1028986|039/2024|22.559.677/0001-05|MHR ENGENHARIA LTDA|6834594,28|4415422,26
1089776|202404241/4241|21.868.248/0001-49|GR MAQUINAS EMPREENDIMENTOS LTDA|653743,10|0,00
1090384|00002/2024|07.156.006/0001-00|CONSTRUTORA PAIXAO LTDA|358890,00|358890,00
1091287|005/5|11.790.782/0001-26|LOREDO CONSTRUCOES E EMPREENDIMENTOS LTDA|498467,62|498467,62
1065894|0052021/2021|39.155.899/0001-57|BASE CONSTRUTORA E INCORPORADORA LTDA|884548,05|884548,05
1093232|0052024/2024|37.991.191/0001-00|CLAUDINEI CONSTRUCOES & REFORMAS LTDA|395547,13|395547,13
1079028|7692024/2024|19.416.581/0001-75|ARTEMIS CONSTRUTORA LTDA|515322,64|515322,64
1090556|0062024/2024|17.803.489/0001-32|DELMAR CONSTRUCOES LTDA|1188085,66|1188085,66
1086995|162/2024|02.777.465/0001-89|CONZATTI ENGENHARIA LTDA|4749700,00|4749700,00
1085358|005/2024|40.358.828/0001-30|PARREIRA GRATAO CONSTRUTORA LTDA|471477,05|471477,05
1090367|004/4|50.349.879/0001-50|VENEZA EMPREENDIMENTOS E CONSTRUCAO LTDA|1465935,60|1465935,60
1093001|004/4|89.713.903/0001-23|CONSTRUTORA GIOVANELLA LTDA|681400,00|681400,00
0389531|010901/2018|21.868.248/0001-49|gr maquinas empreendimentos ltda|168980,78|14151,02
1086379|0022024/2024|33.313.191/0001-09|DAGY CONSTRUCOES E URBANISMO LTDA|2014164,00|2014164,00
1097081|0012022/2022|27.612.479/0001-73|ATTIVA PLANEJAMENTO, CONSULTORIA E ASSESSORIA EM GESTAO PUBLICA E EMPRESARIAL LTDA|11472,00|11472,00
1055520|Nº 072/2024|03.688.640/0001-24|GOMES & AZEVEDO LTDA|137346,67|137346,67
1089554|062/2024|28.660.716/0001-34|AR Pavimentação e Sinalização LTDA|7800000,00|7800000,00
1047774|0066/2024|07.538.435/0001-33|SERVITECNO ENGENHARIA E CONSTRUÇÕES LTDA.|262208,49|262208,49
1068442|61/2024|04.895.340/0001-89|RVV Construções e Empreendimentos LTDA|2379128,55|2136411,88
1064503|001/2024|13.984.677/0001-53|DOM GIOVANI SANEAMENTO E TERRAPLENAGEM LTDA|657252,59|657252,59
1040317|000145/2024|15.551.405/0001-95|l m lourencini|6854,00|6854,00
1086860|014/2024|15.715.423/0001-65|VERSÁTIL CONSTRUÇÕES E ENGENHARIA LTDA|23651447,70|23651447,70
1078388|072024/2024|17.132.538/0001-52|I V N DE OLIVEIRA LTDA|248750,00|248750,00
1077733|177/2024|04.730.117/0001-81|SOLEAR CONSTRUCOES E COMERCIO LTDA|378039,34|378039,34
1085430|042024/2024|06.226.439/0001-13|CONSTRUTORA CAXE LTDA|1680890,32|1680890,32
1035168|66/2024|23.084.564/0001-55|base construcoes ltda|344500,00|343427,96
1083475|3/3|33.099.975/0001-78|FR CONSTRUTORA E PAVIMENTADORA LTDA|379721,85|379721,85
1040317|000447/2024|29.453.225/0001-85|l r sampaio fabricao de paineis e letreiros ltda|395,00|395,00
1040317|000117/2023|32.527.669/0001-22|mundo da bijuteria comercio e artigos de armarinho ltda|3468,36|3468,36
1084515|014/2024|06.997.366/0001-63|FIGUEIREDO COMERCIO DE PRODUTOS HOSPITALARES E SERVICOS DE CONSTRUCAO LTDA|621791,34|621791,34
1089125|569/2024|51.579.757/0001-12|M L DE JESUS EMPREENDIMENTOS E ASSESSORIA|278900,00|278900,00
1090068|7/2024|15.522.788/0001-73|R A C CONSTRUCOES RIO PRETO LTDA|954922,42|954922,42
1086847|02/2024/PMSF|34.211.806/0001-40|O L DE A SOUZA ENGETOP SEVICOS|320000,00|320000,00
1083826|001/2024|06.233.369/0001-20|PROGETTO ARQUITETURA & URBANISMO LTDA|12000,00|12000,00
1040317|000196/2023|18.056.740/0001-05|la moveis comercio ltda|1208,00|1208,00
1084798|641/2024|35.387.076/0001-04|NUNES RIBEIRO INFRAESTRUTURA E CONSTRUCOES LTDA|576261,45|576261,45
1088292|006/6|07.858.618/0001-36|GIASSI E GIASSI LTDA|185000,00|185000,00
1040317|000111/2023|17.041.496/0001-44|j m pozzer ltda|3468,36|3468,36
1072984|404/2024|03.093.776/0001-91|MANUPA COMERCIO EXPORTACAO IMPORTACAO DE EQUIPAMENTOS E VEICULOS ADAPTADOS LTDA|441798,00|220899,00
1068442|000061/2024|04.895.340/0001-89|rvv construcoes e empreendimentos ltda|2504345,84|2504345,84
1093680|004-2024|07.492.799/0001-20|NUNES ENGENHARIA LTDA|908996,07|908996,07
1086989|009/2024|07.773.475/0001-60|CONSTRUTORA GREK LTDA|493000,00|493000,00
1074198|3615/2024|01.318.705/0001-14|LOTUFO ENGENHARIA E CONSTRUCOES LTDA|6674925,39|6674925,39
1087659|034/2024|28.529.405/0001-30|BMC BRASIL MINERACAO E CONSTRUCAO LTDA|826131,63|826131,63
1087737|329/2024|33.584.064/0001-36|TRIGONO CONSTRUTORA LTDA|900000,00|900000,00
1090390|03/3|19.406.885/0001-51|RONDAFLEX LTDA|660000,00|660000,00
1077269|003/2024|45.438.698/0001-60|CAMPAO ASFALTO E CONSTRUTORA LTDA|770000,00|770000,00
1086296|00007/2024|51.913.561/0001-12|T G DE SOUZA FILHO LTDA|1060000,00|1060000,00
1081230|112024/2024|27.968.554/0001-33|LIMPAV TERRAPLENAGEM E PAVIMENTACAO LTDA|498938,56|498938,56
1087802|0262023/2023|19.455.407/0001-31|AGILIZA ENGENHARIA E SERVICOS IMOBILIARIOS LTDA|8000,00|8000,00
1090456|0424CPOB|52.401.746/0001-00|I B PONTE CASTRO LTDA|288050,86|288050,86
1090264|04/4|22.748.373/0001-88|MARTINS & BRITO CIA LTDA|434900,90|434900,90
1093019|29/29|22.370.847/0001-09|CONSTRUCOES E PAVIMENTACOES LLA LTDA|513573,89|513573,89
1064486|001/2024|13.984.677/0001-53|DOM GIOVANI SANEAMENTO E TERRAPLENAGEM LTDA|326235,49|326235,49
1071256|3202400007|10.814.673/0001-39|ESTRELA MULTISERVICOS LTDA|223850,00|223850,00
1086651|04/4|89.713.903/0001-23|CONSTRUTORA GIOVANELLA LTDA|329700,00|329700,00
1040317|000188/2023|30.313.649/0001-23|serrana distribuidora ltda|1208,00|1208,00
1040317|000105/2023|09.628.691/0001-47|j a e akra|3468,36|3468,36
1087307|08/2024|01.637.593/0001-64|TELESIL ENGENHARIA LTDA|1438237,78|1438237,78
1090252|183/183|85.248.920/0001-86|CONSTRUTORA IC LTDA|1538000,00|1538000,00
1089125|0812024/2024|51.579.757/0001-12|M L DE JESUS EMPREENDIMENTOS E ASSESSORIA|278900,00|278900,00
1092868|004/4|22.753.588/0001-97|RODRIGUES E CAIRES LTDA|2095983,38|2095983,38
1035083|000193/2024|23.085.532/0001-74|injetec construcoes e servicos ltda|473634,33|473634,33
1089407|0324CPOB|25.234.497/0001-33|M5 CONSTRUTORA & SERVICOS URBANOS LTDA|464836,77|464836,77
1090698|035/2024 - DL|22.782.906/0001-48|POSITIVA ASSESSORIA PUBLICA LTDA|13500,00|13500,00
1088605|72024/2024|07.933.604/0001-30|CONTROL - CONSTRUTORA OLIVEIRA LTDA|740314,13|740314,13
1092115|092024/2024|42.965.015/0001-34|CONSTRUTORA VALENTE LTDA|483943,87|483943,87
1093071|052024/2024|01.744.153/0001-06|PAVIDEZ ENGENHARIA LTDA|958570,36|958570,36
1085218|006/2024|00.643.740/0001-46|TERRAPLENAGEM SAO LUCAS LTDA|1447264,44|1447264,44
1085647|28/28|41.104.031/0001-70|PATTARO & NASCIMENTO EMPREENDIMENTOS LTDA.|1003000,00|1003000,00
1076728|005/2024|40.950.251/0001-51|ARCA EMPREENDIMENTOS COMERCIO E SERVICOS LTDA|877143,53|877143,53
1097085|002/2024|20.331.331/0001-11|FATOR CONSTRUTORA LTDA|769393,53|769393,53
1089083|301/2024|00.488.605/0001-73|CONSTRUTORA INDUSTRIAL LTDA|884436,11|884436,11
1088999|07/2025|08.183.516/0001-20|CASAMAX COMERCIAL E SERVICOS LTDA|7146868,75|5623974,65
1089350|0022024/2024|07.469.458/0001-33|ENGENORTE - ENGENHARIA, SERVICOS E CONSULTORIA LTDA|955899,99|955899,99
1089872|252024/2024|30.473.743/0001-40|RODOVIA TERRAPLENAGEM PAVIMENTACAO E CONSTRUCAO LTDA|10948260,79|10948260,79
1090937|02/2024|26.399.954/0001-02|M D M CONSTRUCAO E LOCACAO LTDA|619990,00|619990,00
1092544|3.2024-008-PMVX|04.232.710/0001-06|DOMMUS CONSTRUTORA LTDA|2458668,51|2458668,51
1087265|0242023/2023|19.455.407/0001-31|AGILIZA ENGENHARIA E SERVICOS IMOBILIARIOS LTDA|86000,00|86000,00
1087798|002/2|45.710.094/0001-20|JAQUELINE ALEXANDRINA DA CONCEICAO CAMP LTDA|699979,37|699979,37
1081419|62024/2024|46.603.862/0001-00|FGC ENGENHARIA E CONSTRUTORA LTDA|1149500,00|1149500,00
1090597|0102024/2024|10.814.673/0001-39|ESTRELA MULTISERVICOS LTDA|545000,00|545000,00
1090698|001/2024 - CE|31.583.239/0001-65|GN PROJETOS E SERVICOS LTDA|264418,15|264418,15
1046614|000367/2020|25.234.497/0001-33|m5 construtora & servicos urbanos ltda|892800,99|892800,99
1047182|000149/2023|50.346.728/0001-48|lauffertec construcao e servicos ltda|559000,00|559000,00
1090944|00005/2024|41.069.404/0001-19|FC EMPREENDIMENTOS E CONSTRUCOES LTDA|341500,61|341500,61
1090632|03/2024|26.399.954/0001-02|M D M CONSTRUCAO E LOCACAO LTDA|464500,00|464500,00
1090998|0082024/2024|23.454.470/0001-20|UNAPAV PAVIMENTACAO LTDA|598205,16|598205,16
1091383|08/8|89.713.903/0001-23|CONSTRUTORA GIOVANELLA LTDA|686916,51|686916,51
1086044|038/2024|08.920.322/0001-60|FPF CONSTRUÇÕES E SERVIÇOS LTDA|4716914,34|4716914,34
1090046|332/2024|14.707.364/0001-10|XCMG Brasil Industria LTDA|691500,00|691500,00
1080038|047/2024|35.040.949/0001-08|V C CONSTRUTORA LTDA|994999,14|994999,14
1094017|003/2023 - CE|45.974.709/0001-26|ATLANTA CONSTRUTORA LTDA|1341176,04|1341176,04
1093833|2024.09.24.1|06.043.276/0001-33|ELETROPORT SERVICOS PROJETOS E CONSTRUCOES LTDA|4197047,92|0,00
1087803|0272023/2023|19.455.407/0001-31|AGILIZA ENGENHARIA E SERVICOS IMOBILIARIOS LTDA|28500,00|28500,00
1086308|003/2024|13.438.063/0001-76|CONSTRUSETE CONSTRUTORA LTDA|2144883,12|2144883,12
1088106|010/2024|07.354.898/0001-45|ARDO - CONSTRUTORA E PAVIMENTACAO LTDA|23993007,00|23993007,00
1083861|017 2024|21.840.074/0001-06|VK EMPREENDIMENTOS LTDA|956000,00|956000,00
1088943|054/2024|22.618.893/0001-76|A S CONSTRUTORA LTDA|696601,20|696601,20
1090088|003/2024|46.482.013/0001-45|IMPERAMAQ LOCACOES E CONSTRUCOES LTDA|916750,00|916750,00
1091633|29/2024|18.393.656/0001-87|MRA - CONSTRUCOES LTDA|29550,00|29550,00
1087952|3520/2024|30.073.554/0001-80|LCL CONSTRUTORA LTDA|543643,00|543643,00
1087267|0252023/2023|19.455.407/0001-31|AGILIZA ENGENHARIA E SERVICOS IMOBILIARIOS LTDA|21000,00|21000,00
1096670|2024.09.16.1|48.895.470/0001-97|VICO IASI VIANA NASCIMENTO TRUCK CAR|2258002,05|0,00
1078352|009/9|11.446.462/0001-53|R J DOS SANTOS LTDA|386289,15|386289,15
1076917|3644/2024|14.120.426/0001-93|EDUARDO LUCAS|459500,00|459500,00
1077071|70-2024|16.594.225/0001-53|CFG SERVICOS DE REPAROS NA AREA DE CONSTRUCAO LTDA|469005,99|469005,99
1079272|001/2024|18.294.309/0001-05|RATES CONSTRUTORA LTDA|478346,07|478346,07
1089383|0012024/2024|08.815.415/0001-25|CONSTRUTORA E TRANSPORTADORA IDEAL LTDA|4494999,09|4494999,09
1074064|0052024/2024|15.800.170/0001-28|BWC ASSESSORIA E EMPREENDIMENTOS LTDA|1399978,77|1399978,77
1080872|0062024/2024|15.800.170/0001-28|BWC ASSESSORIA E EMPREENDIMENTOS LTDA|3469998,09|3469998,09
1087690|316/2024|24.658.568/0001-62|FM Serviços Ltda|489900,00|489899,95
1088060|006/2024|18.693.277/0001-02|D K SERVICOS E LOCACOES LTDA|2438446,75|2438446,75
1089827|81/2024|05.403.198/0001-78|EMMPEC-EMPRESA MINEIRA DE PROJETOS, ENGENHARIA E CONSTRUCOES LTDA|6067945,46|6067945,46
0394941|460022044/24|56.177.616/0001-97|Consorcio CNA|242443812,89|213924334,28
1064486|001/2024|13.984.677/0001-53|DOM GIOVANI SANEAMENTO E TERRAPLENAGEM LTDA|326235,49|326235,49
1086709|00003/2024|28.994.255/0001-36|CONSTRUTORA JEW LTDA|363800,00|363800,00
1073483|004/2024|12.607.846/0001-73|CONCREALL COMERCIALIZACAO LTDA|378050,00|378050,00
1087052|001/2024|17.368.445/0001-21|UNIAO ENGENHARIA LTDA|427019,33|427019,33
1079916|CE-001-2024 - SESA|32.788.026/0001-32|RPS - CONSTRUCAO DE EDIFICIOS E PROJETOS LTDA|489888,71|489888,71
1083111|1102024|37.510.627/0001-00|CONSTRUTORA SANTIAGUENSE LTDA|369750,00|369750,00
1087374|9/2024|15.631.381/0001-84|HBT ARQUITETURA E ENGENHARIA LTDA|13546609,00|13546609,00
1087875|003/3|38.131.155/0001-30|ROCHA QUIRINO ENGENHARIA LTDA|3857763,41|3857763,41
1089383|0012024/2024|08.815.415/0001-25|CONSTRUTORA E TRANSPORTADORA IDEAL LTDA|4494999,09|4494999,09
1089688|1180432/2024|21.143.113/0001-16|GUSSEN ENGENHARIA LTDA|288640,00|288640,00
1082875|12/2024|30.396.328/0001-30|J REZENDE SERVICOS E CONSTRUCOES LTDA|302000,00|302000,00
1089573|CTEF n° 031/2024-SEMINFRA|01.717.048/0001-88|CONSTRUTORA NORTE DO TAPAJÓS LTDA|4795590,00|4795590,00
1092161|072024/2024|22.580.382/0001-02|AP ENGENHARIA E CONSTRUCOES LTDA|1319200,00|1319200,00
1092335|2024311001|40.696.807/0001-25|LOO SERVICES LTDA|2871835,13|2871835,13
1080529|063/2024|15.558.388/0001-18|CONSORCIO DE DESENVOLVIMENTO SUSTENTAVEL DO TERRITORIO DO PIEMONTE DA DIAMANTINA|579588,97|579588,97
1089868|1192024/2024|01.816.332/0001-01|MAPA CONSTRUTORA LTDA|502430,76|502430,76
1091137|004/2024|04.422.075/0001-11|PROJECAO SERVICOS DE CONSTRUCAO E TERRAPLENAGEM LTDA -|260799,23|260799,23
1092182|15/2024|45.441.239/0001-35|TERRAPLENAGEM IRMAOS SILVA LTDA|368900,00|368900,00
1089087|113/2024|18.483.220/0001-89|ECOGREEN TECNOLOGIA EM SANEAMENTO AMBIENTAL LTDA|242523,10|242523,10
1093408|004/2024|10.672.793/0001-49|ART PROJETOS CONSTRUCOES E SERVICOS LTDA|23420259,82|23420259,82
1080358|0152022/2022|00.827.454/0001-30|CERQUEIRA TORRES CONSTRUCOES TERRAPLENAGEM E PAVIMENTACAO LTDA|212074,67|212074,67
1086614|900022024/2024|46.544.589/0001-90|VIVAZ SOLUCOES INTEGRADAS LTDA|288171,71|288171,71
